N cf freq db Lmaxap Dmaxap dapmaxap Lminap Dminap dampminap Lmaxvs Dmaxvs dvsmaxvs Lminvs Dminvs dvsminvs atcf rlf at1500
1 1500 1500 65 81.65 6.23 50.9 420.3 1 0 97.77 4.19 0.077 210.68 5.65 -0.15 1 0 1
2 1500 1000 65 81.65 6.23 53.7 323.58 7.68 0 81.65 7.68 0.09 81.65 10 -0.14 0 0 1
3 1500 2000 65 81.65 5.94 41 339.71 7.68 0 49.39 4.19 0.09 452.6 5.35 -0.05 0 0 1
4 1500 500 65 81.65 5.35 24.91 339.71 7.68 0 146.16 6.8 0.05 226.81 5.65 -0.02 0 0 1
5 1500 2500 65 65.52 6.81 18.97 371.97 1 0 275.19 4.77 0.06 130.03 4.77 -0.04 0 0 1
6 1500 1389 65 81.64 6.23 52.74 307.45 7.68 0 33.26 9.13 0.06 291.32 5.35 -0.12 0 1 1
7 500 500 65 97.77 4.77 49.34 355.84 4.77 0 146.16 6.22 0.04 259.1 5.94 -0.04 1 0 0
8 1000 1000 65 81.65 5.65 57.33 339.71 7.68 0 210.68 5.94 0.11 291.32 5.35 -0.03 1 0 0
9 2000 2000 65 81.65 6.23 47.68 307.45 7.68 0 33.26 6.23 0.08 162.29 5.94 -0.21 1 0 0
10 2500 2500 65 81.65 6.23 41.59 307.45 7.68 0 97.77 4.48 0.09 291.32 4.48 -0.06 1 0 0
11 1500 1389 45 65.52 6.52 50 307.45 7.68 0 33.26 4.77 0.09 130 7.68 -0.27 0 1 0
12 1500 1389 25 81.65 6.23 37.72 323.58 7.68 0 210.67 5.93 0.1 146.16 5.94 -0.17 0 1 0
13 1500 1389 75 81.65 6.23 53.95 323.58 7.68 0 33.26 10 0.08 178.42 6.52 -0.14 0 1 0
14 1500 1389 5 65.52 7.97 9.53 452.61 1 0 49.39 7.1 0.05 162.3 5.94 -0.11 0 1 0
15 1500 1389 55 81.65 6.23 50.77 307.45 7.68 0 65.52 5.65 0.08 113.9 7.68 -0.13 0 1 0
16 1500 1389 35 81.65 5.93 46.93 291.32 7.68 0 97.77 6.51 0.08 355.84 5.94 -0.17 0 1 0
17 1500 1389 15 65.516 6.81 20.23 355.84 1 0 97.77 6.51 0.09 178.42 5.94 -0.19 0 1 0
18 1500 2250 65 81.65 6.65 31.07 339.71 7.68 0 17.13 9.71 0.07 178.42 5.65 -0.1 0 0 1
19 1500 750 65 81.65 6.23 44 371.97 7.68 0 130.03 5.35 0.04 484.87 5.65 -0.08 0 0 1
20 1500 1250 65 81.65 6.23 53.8 501 1 0 49.39 4.77 0.06 510 5.9 -0.15 0 0 1
21 1500 1750 65 81.64 6.23 49.44 468.74 1 0 33.26 5.35 0.06 291.32 5.65 -0.09 0 0 1
22 750 750 65 97.77 5.65 60.03 355.84 7.68 0 452.61 5.94 0.1 226.81 5.65 -0.03 1 0 0
23 1250 1250 65 65.52 6.81 53.02 436.43 1 0 65.52 10 0.07 210.68 5.94 -0.03 1 0 0
24 1750 1750 65 81.65 6.23 49.86 307.45 7.68 0 113.9 6.52 0.1 113.9 8 -0.3 1 0 0
25 2250 2250 65 97.77 5.65 44.3 323.58 7.68 0 49.39 4.48 0.11 162.3 5.94 -0.1 1 0 0
